,,Share with student loan debt,,,,Median student loan debt,,,,Share student loan holders with student loan debt in collections,,,,Median student loan debt in collections,,,,Median monthly student loan payment,,,,Share people with a credit record who have student loan debt in collections,,,,Nonwhite population share,,Share without a bachelor's degree,,,,Average household income,,
Shelby County,Alabama,17%,17%,n/a*,,"$19,044","$19,005",n/a*,,9%,9%,n/a*,,"$8,551","$9,067",n/a*,,$164,$166,n/a*,,2%,2%,n/a*,,21%,,60%,58%,68%,,"$92,323","$95,053","$79,027"
Sumter County,Alabama,19%,n/a**,19%,,n/a*,n/a**,n/a*,,19%,n/a**,19%,,n/a*,n/a**,n/a*,,n/a*,n/a**,n/a*,,4%,n/a**,4%,,75%,,84%,62%,91%,,"$31,841","$57,644","$23,763"
Talladega County,Alabama,10%,10%,n/a**,,"$13,036","$12,125",n/a**,,26%,24%,n/a**,,n/a*,n/a*,n/a**,,$119,n/a*,n/a**,,3%,2%,n/a**,,36%,,85%,84%,88%,,"$50,644","$54,473","$43,435"
Tallapoosa County,Alabama,11%,11%,n/a*,,"$14,855",n/a*,n/a*,,18%,10%,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,2%,1%,n/a*,,31%,,83%,80%,91%,,"$51,602","$59,669","$31,219"
Tuscaloosa County,Alabama,14%,12%,n/a*,,"$20,567","$17,191",n/a*,,16%,13%,n/a*,,"$6,112",n/a*,n/a*,,$157,$143,n/a*,,2%,2%,n/a*,,36%,,69%,64%,79%,,"$65,629","$74,807","$46,491"
Walker County,Alabama,8%,8%,n/a**,,"$14,769","$14,082",n/a**,,12%,12%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,10%,,91%,90%,95%,,"$50,172","$51,403","$35,827"
Washington County,Alabama,13%,13%,17%,,n/a*,n/a*,n/a*,,17%,16%,18%,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,2%,2%,3%,,35%,,90%,88%,94%,,"$51,777","$54,063","$47,100"
Wilcox County,Alabama,15%,n/a*,15%,,n/a*,n/a*,n/a*,,20%,n/a*,21%,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,3%,n/a*,3%,,73%,,88%,77%,92%,,"$36,925","$59,551","$27,191"
Winston County,Alabama,6%,6%,n/a**,,n/a*,n/a*,n/a**,,18%,18%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,6%,,89%,89%,83%,,"$45,018","$45,770","$26,659"
Aleutians East Borough,Alaska,n/a*,n/a**,n/a*,,n/a*,n/a**,n/a*,,n/a*,n/a**,n/a*,,n/a*,n/a**,n/a*,,n/a*,n/a**,n/a*,,n/a*,n/a**,n/a*,,85%,,86%,72%,89%,,"$71,231","$83,821","$66,272"
Aleutians West Census Area,Alaska,n/a*,n/a**,n/a*,,n/a*,n/a**,n/a*,,n/a*,n/a**,n/a*,,n/a*,n/a**,n/a*,,n/a*,n/a**,n/a*,,n/a*,n/a**,n/a*,,72%,,85%,77%,89%,,"$94,923","$115,715","$77,918"
Anchorage Municipality,Alaska,15%,15%,n/a**,,"$14,513","$13,691",n/a**,,15%,14%,n/a**,,"$6,867",n/a*,n/a**,,$177,$172,n/a**,,2%,2%,n/a**,,41%,,64%,56%,80%,,"$105,888","$115,461","$84,170"
Bethel Census Area,Alaska,16%,n/a**,17%,,n/a*,n/a**,n/a*,,9%,n/a**,9%,,n/a*,n/a**,n/a*,,n/a*,n/a**,n/a*,,1%,n/a**,1%,,89%,,88%,54%,95%,,"$65,709","$105,016","$56,230"
Bristol Bay Borough,Alaska,n/a*,n/a**,n/a*,,n/a*,n/a**,n/a*,,n/a*,n/a**,n/a*,,n/a*,n/a**,n/a*,,n/a*,n/a**,n/a*,,n/a*,n/a**,n/a*,,47%,,80%,71%,93%,,"$87,875","$94,349","$78,290"
Denali Borough,Alaska,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,15%,,67%,69%,56%,,"$89,038","$89,815","$83,799"
Dillingham Census Area,Alaska,n/a*,n/a**,n/a*,,n/a*,n/a**,n/a*,,n/a*,n/a**,n/a*,,n/a*,n/a**,n/a*,,n/a*,n/a**,n/a*,,n/a*,n/a**,n/a*,,82%,,84%,57%,93%,,"$69,872","$90,613","$61,037"
Fairbanks North Star Borough,Alaska,14%,15%,n/a**,,"$16,050","$16,004",n/a**,,14%,15%,n/a**,,n/a*,n/a*,n/a**,,$170,$162,n/a**,,2%,2%,n/a**,,28%,,66%,62%,76%,,"$88,857","$91,376","$80,202"
Haines Borough,Alaska,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,20%,,64%,62%,76%,,"$76,126","$72,842","$88,538"
Hoonah-Angoon Census Area,Alaska,15%,n/a*,n/a*,,n/a*,n/a*,n/a*,,13%,n/a*,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,2%,n/a*,n/a*,,51%,,73%,63%,87%,,"$67,142","$74,420","$56,133"
Juneau City and Borough,Alaska,14%,14%,n/a**,,"$11,512","$13,732",n/a**,,14%,15%,n/a**,,n/a*,n/a*,n/a**,,$120,n/a*,n/a**,,2%,2%,n/a**,,34%,,61%,56%,76%,,"$102,355","$105,744","$91,571"
Kenai Peninsula Borough,Alaska,13%,13%,n/a**,,"$14,602","$14,602",n/a**,,31%,31%,n/a**,,n/a*,n/a*,n/a**,,$146,$145,n/a**,,4%,4%,n/a**,,18%,,77%,76%,86%,,"$78,118","$79,192","$71,355"
Ketchikan Gateway Borough,Alaska,13%,13%,n/a**,,n/a*,n/a*,n/a**,,9%,7%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,35%,,76%,72%,87%,,"$80,178","$88,801","$56,998"
Kodiak Island Borough,Alaska,11%,n/a**,n/a*,,n/a*,n/a**,n/a*,,8%,n/a**,n/a*,,n/a*,n/a**,n/a*,,n/a*,n/a**,n/a*,,1%,n/a**,n/a*,,49%,,75%,66%,87%,,"$82,983","$92,042","$67,823"
Kusilvak Census Area,Alaska,11%,n/a**,11%,,n/a*,n/a**,n/a*,,0%,n/a**,0%,,n/a*,n/a**,n/a*,,n/a*,n/a**,n/a*,,0%,n/a**,0%,,96%,,95%,62%,97%,,"$48,392","$75,987","$46,159"
Lake and Peninsula Borough,Alaska,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,79%,,87%,67%,94%,,"$63,274","$90,681","$52,987"
Matanuska-Susitna Borough,Alaska,15%,15%,n/a**,,"$13,095","$13,935",n/a**,,14%,13%,n/a**,,n/a*,n/a*,n/a**,,$164,$172,n/a**,,2%,2%,n/a**,,21%,,80%,78%,89%,,"$85,296","$86,710","$75,360"
Nome Census Area,Alaska,11%,n/a**,11%,,n/a*,n/a**,n/a*,,17%,n/a**,17%,,n/a*,n/a**,n/a*,,n/a*,n/a**,n/a*,,2%,n/a**,2%,,83%,,86%,57%,95%,,"$64,816","$96,428","$54,796"
North Slope Borough,Alaska,9%,n/a*,9%,,n/a*,n/a*,n/a*,,18%,n/a*,18%,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,2%,n/a*,2%,,68%,,86%,78%,92%,,"$88,398","$107,615","$86,726"
Northwest Arctic Borough,Alaska,9%,n/a**,9%,,n/a*,n/a**,n/a*,,29%,n/a**,29%,,n/a*,n/a**,n/a*,,n/a*,n/a**,n/a*,,3%,n/a**,3%,,88%,,89%,57%,96%,,"$78,387","$111,161","$70,344"
Petersburg Borough,Alaska,7%,6%,n/a*,,n/a*,n/a*,n/a*,,29%,17%,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,2%,1%,n/a*,,31%,,75%,71%,86%,,"$83,344","$82,802","$84,885"
Prince of Wales-Hyder Census Area,Alaska,12%,n/a*,n/a*,,n/a*,n/a*,n/a*,,11%,n/a*,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,1%,n/a*,n/a*,,54%,,84%,77%,93%,,"$63,684","$67,903","$57,935"
Sitka City and Borough,Alaska,12%,12%,n/a**,,n/a*,n/a*,n/a**,,11%,11%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,37%,,69%,60%,87%,,"$82,614","$91,104","$60,013"
Skagway Municipality,Alaska,15%,n/a*,n/a**,,n/a*,n/a*,n/a**,,13%,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,n/a*,n/a**,,25%,,64%,60%,75%,,"$81,486","$84,953","$60,690"
Southeast Fairbanks Census Area,Alaska,8%,6%,n/a*,,n/a*,n/a*,n/a*,,0%,0%,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,0%,0%,n/a*,,23%,,82%,80%,94%,,"$72,110","$77,851","$46,528"
Valdez-Cordova Census Area,Alaska,8%,9%,n/a*,,n/a*,n/a*,n/a*,,0%,0%,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,0%,0%,n/a*,,30%,,71%,66%,89%,,"$88,839","$95,456","$68,467"
Wrangell City and Borough,Alaska,7%,6%,n/a**,,n/a*,n/a*,n/a**,,29%,17%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,1%,n/a**,,32%,,80%,77%,89%,,"$62,771","$67,810","$50,175"
Yakutat City and Borough,Alaska,n/a*,n/a**,n/a*,,n/a*,n/a**,n/a*,,n/a*,n/a**,n/a*,,n/a*,n/a**,n/a*,,n/a*,n/a**,n/a*,,n/a*,n/a**,n/a*,,61%,,85%,78%,91%,,"$73,067","$74,740","$71,498"
Yukon-Koyukuk Census Area,Alaska,4%,n/a*,5%,,n/a*,n/a*,n/a*,,33%,n/a*,33%,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,1%,n/a*,2%,,78%,,89%,70%,96%,,"$52,496","$73,767","$44,871"
Apache County,Arizona,16%,9%,18%,,"$11,295",n/a*,"$11,324",,26%,0%,29%,,n/a*,n/a*,n/a*,,$111,n/a*,$108,,4%,0%,5%,,81%,,87%,72%,91%,,"$40,501","$64,606","$33,251"
Cochise County,Arizona,11%,11%,10%,,"$13,667","$14,011",n/a*,,17%,22%,11%,,n/a*,n/a*,n/a*,,$156,$175,n/a*,,2%,2%,1%,,45%,,80%,75%,88%,,"$58,109","$62,773","$49,180"
Coconino County,Arizona,18%,18%,14%,,"$20,404","$20,929","$11,415",,15%,12%,23%,,"$9,964",n/a*,n/a*,,$166,$168,n/a*,,3%,2%,3%,,45%,,67%,53%,89%,,"$73,662","$85,062","$52,250"
Gila County,Arizona,7%,5%,n/a*,,"$20,395",n/a*,n/a*,,11%,8%,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,1%,0%,n/a*,,36%,,83%,80%,91%,,"$49,868","$51,263","$45,939"
Graham County,Arizona,9%,10%,5%,,n/a*,n/a*,n/a*,,16%,0%,20%,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,1%,0%,1%,,48%,,87%,82%,93%,,"$55,869","$58,742","$51,071"
Greenlee County,Arizona,7%,n/a*,7%,,n/a*,n/a*,n/a*,,11%,n/a*,14%,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,1%,n/a*,1%,,53%,,89%,85%,94%,,"$61,585","$65,517","$57,382"
La Paz County,Arizona,8%,6%,n/a*,,n/a*,n/a*,n/a*,,22%,14%,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,2%,1%,n/a*,,40%,,90%,88%,95%,,"$43,636","$44,711","$41,061"
Maricopa County,Arizona,17%,17%,15%,,"$16,459","$18,218","$12,669",,16%,13%,26%,,"$6,671","$8,463","$5,651",,$163,$179,$134,,3%,2%,4%,,44%,,69%,63%,80%,,"$77,439","$85,808","$60,830"
Mohave County,Arizona,10%,10%,n/a*,,"$13,500","$13,652",n/a*,,23%,23%,n/a*,,"$6,111","$6,311",n/a*,,$130,$133,n/a*,,2%,2%,n/a*,,23%,,88%,88%,89%,,"$54,325","$55,121","$50,339"
Navajo County,Arizona,11%,9%,14%,,"$16,370","$16,958","$14,411",,26%,19%,31%,,n/a*,n/a*,n/a*,,$172,n/a*,n/a*,,3%,2%,4%,,58%,,84%,75%,93%,,"$49,475","$60,303","$37,691"
Pima County,Arizona,16%,15%,16%,,"$14,934","$17,490","$12,464",,17%,14%,20%,,"$9,365","$9,460","$9,498",,$152,$171,$126,,3%,2%,3%,,47%,,69%,60%,83%,,"$64,613","$72,795","$50,929"
